period,timestep,profile_name,value
4,16,cool,0.6303158241426936
4,16,elec,0.226957961854781
4,16,solar,0.375031898812841
4,16,transport_truck_bus_van_car_rail_aviation_maritime,0.5427443071341911
4,16,wind,0.1309026827120341
4,17,DHW_or_space,0.3208361721797385
4,17,RoR,0.515033180805443
4,17,cool,0.581670107118169
4,17,elec,0.2502508305161841
4,17,solar,0.2815454636355728
4,17,transport_truck_bus_van_car_rail_aviation_maritime,0.529255587298344
4,17,wind,0.134492172810872
4,18,DHW_or_space,0.3633673034467079
4,18,RoR,0.515033180805443
4,18,cool,0.5284995608617871
4,18,elec,0.2786646801082879
4,18,solar,0.1649980059442333
4,18,transport_truck_bus_van_car_rail_aviation_maritime,0.5338211660797568
4,18,wind,0.1396991555878312
4,19,DHW_or_space,0.3041602752791026
4,19,RoR,0.515033180805443
4,19,cool,0.4507589796014261
4,19,elec,0.4596384453606249
4,19,solar,0.0719336921114772
4,19,transport_truck_bus_van_car_rail_aviation_maritime,0.5651397027969067
4,19,wind,0.1426105845558839
4,20,DHW_or_space,0.2563723390536601
4,20,RoR,0.515033180805443
4,20,cool,0.3660612159181772
4,20,elec,0.5246466205606223
4,20,solar,0.0228753035027103
4,20,transport_truck_bus_van_car_rail_aviation_maritime,0.5386544318296668
4,20,wind,0.1457435154955605
4,21,DHW_or_space,0.2090990019793157
4,21,RoR,0.515033180805443
4,21,cool,0.2599669014617079
4,21,elec,0.6202252518956377
4,21,solar,0.0
4,21,transport_truck_bus_van_car_rail_aviation_maritime,0.548628163486498
4,21,wind,0.1479731243001119
4,22,DHW_or_space,0.1272970059379472
4,22,RoR,0.515033180805443
4,22,cool,0.1892966887028785
4,22,elec,0.6796603197889555
4,22,solar,0.0
4,22,transport_truck_bus_van_car_rail_aviation_maritime,0.5478144447318313
4,22,wind,0.1482493467711832
4,23,DHW_or_space,0.0558685851002114
4,23,RoR,0.515033180805443
4,23,cool,0.1574112515093887
4,23,elec,0.6806419046751542
4,23,solar,0.0
4,23,transport_truck_bus_van_car_rail_aviation_maritime,0.5383835238071412
4,23,wind,0.1478923535378573
4,24,DHW_or_space,0.0291936774337273
4,24,RoR,0.515033180805443
4,24,cool,0.1351782371603512
4,24,elec,0.6735284647824492
