period,rep_period,weight
199,5,0.7042231239537999
200,2,0.05804356199962721
200,3,0.2533855013292834
200,4,0.23807294140125093
200,5,0.4504979952698384
201,1,0.03202032512920088
201,4,0.5934770137339642
201,5,0.37450266113683484
202,2,0.1598236536287366
202,4,0.8175856170464442
202,5,0.02259072932481917
203,1,0.0418414869907065
203,2,0.020357973286535793
203,4,0.7065847197224301
203,5,0.23121582000032762
204,1,0.044451805806468035
204,2,0.07934044865435205
204,4,0.7699722233426097
204,5,0.10623552219657023
205,3,0.2284337466373075
205,4,0.3591864661146154
205,5,0.41237978724807717
206,3,0.1518298278412789
206,4,0.5861619221803708
206,5,0.26200824997835026
207,3,0.20049561107016894
207,4,0.7481069171834178
207,5,0.051397471746413195
208,3,0.21155640539719286
208,4,0.5850889226840308
208,5,0.2033546719187764
209,1,0.03633519137418971
209,3,0.2557249014246962
209,4,0.6070674972885305
209,5,0.10087240991258366
210,3,0.13433941900323104
210,4,0.8074740394292814
210,5,0.058186541567487635
211,4,0.3571213661335824
211,5,0.6428786338664175
212,1,0.07434884488066214
212,2,0.09002622059745534
212,3,0.23535754883057275
212,4,0.6002673856913099
213,1,0.04608944144779622
213,2,0.09374757294379973
213,4,0.7908751249958946
213,5,0.06928786061250947
214,1,0.14560662497849278
214,3,0.48420835501166004
214,4,0.3246704429328379
214,5,0.04551457707700935
215,1,0.07339680595988117
215,3,0.5980911150605415
215,4,0.32851207897957735
216,2,0.11184861358001934
216,3,0.2615186479364959
216,4,0.5997848787076082
216,5,0.026847859775876618
217,1,0.0245734474043754
217,2,0.09035840624315726
217,4,0.8422082910181273
217,5,0.042859855334339905
218,2,0.13111239040141917
218,4,0.8688876095985809
219,1,0.04565192265836962
219,2,0.1047646341189776
219,4,0.8260691602242433
219,5,0.02351428299840947
220,1,0.06285627039989373
220,2,0.15219009081319573
220,4,0.7849536387869106
221,1,0.07205957742828291
221,2,0.16079650429727826
221,4,0.767143918274439
222,2,0.30753324418818984
222,4,0.6924667558118102
223,1,0.16487467915430234
223,2,0.14822304391358576
223,4,0.6393742409668283
223,5,0.04752803596528367
224,1,0.3598859709197206
224,4,0.4512247775245088
224,5,0.1888892515557706
225,1,0.13252109791721078
225,3,0.5152453381534772
225,4,0.35223356392931204
226,2,0.02565898139382005
226,3,0.6444445092373622
226,4,0.32989650936881776
227,3,0.05381648253123839
227,4,0.6042520598043705
227,5,0.3419314576643911
228,3,0.1526789915740754
228,4,0.6796752583821771
228,5,0.16764575004374754
229,1,0.052594251678195016
229,2,0.14977183119142953
229,4,0.7321080530019864
229,5,0.06552586412838905
230,2,0.3251416392710571
230,4,0.6748583607289429
231,2,0.28866133896163937
