,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
206,other-non-ferrous-metals-production-reference_NLC8,0.07,0.07,10000000.0,other-non-ferrous-metals,wy_2009,NLC8,other-non-ferrous-metals-production-reference
207,(LN)O_NLC6,0.25,0.25,0.25,chemicals,wy_2009,NLC6,(LN)O
208,leather-and-textile-production-reference_BEC3,0.01,0.01,10000000.0,leather-and-textile,wy_2009,BEC3,leather-and-textile-production-reference
209,other-industrial-sectors_production-reference_NLC5,0.03,0.03,10000000.0,,wy_2009,NLC5,other-industrial-sectors_production-reference
210,transport-equipment-production-reference_NLC9,0.01,0.01,10000000.0,transport-equipment,wy_2009,NLC9,transport-equipment-production-reference
211,transport-equipment-production-reference_BEC6,0.01,0.01,10000000.0,transport-equipment,wy_2009,BEC6,transport-equipment-production-reference
212,other-chemicals-production-reference_BEC7,0.01,0.01,10000000.0,,wy_2009,BEC7,other-chemicals-production-reference
213,Diaphragm_BEC1,0.04,0.04,0.04,chemicals,wy_2009,BEC1,Diaphragm
214,other-chemicals-production-reference_NLC9,0.03,0.03,10000000.0,,wy_2009,NLC9,other-chemicals-production-reference
215,machinery-equipment-production-reference_NLC7,0.03,0.03,10000000.0,machinery-equipment,wy_2009,NLC7,machinery-equipment-production-reference
216,other-chemicals-production-reference_BEC8,0.0,0.0,10000000.0,,wy_2009,BEC8,other-chemicals-production-reference
217,transport-equipment-production-reference_NLC6,0.02,0.02,10000000.0,transport-equipment,wy_2009,NLC6,transport-equipment-production-reference
218,pulp-production-reference_NLC4,0.0,0.0,10000000.0,pulp,wy_2009,NLC4,pulp-production-reference
219,other-industrial-sectors_production-reference_NLC9,0.05,0.05,10000000.0,,wy_2009,NLC9,other-industrial-sectors_production-reference
220,paper-production-reference_NLC3,0.13,0.13,10000000.0,paper,wy_2009,NLC3,paper-production-reference
221,other-chemicals-production-reference_BEC3,0.01,0.01,10000000.0,,wy_2009,BEC3,other-chemicals-production-reference
222,pulp-production-reference_NLC8,0.0,0.0,10000000.0,pulp,wy_2009,NLC8,pulp-production-reference
223,(NG)_gco_BEC7,0.02,0.02,0.02,glass,wy_2009,BEC7,(NG)_gco
224,(NG)PE_NLC5,0.01,0.01,0.01,chemicals,wy_2009,NLC5,(NG)PE
225,pulp-production-reference_BEC6,0.06,0.06,10000000.0,pulp,wy_2009,BEC6,pulp-production-reference
226,leather-and-textile-production-reference_BEC2,0.01,0.01,10000000.0,leather-and-textile,wy_2009,BEC2,leather-and-textile-production-reference
227,pulp-production-reference_NLC7,0.0,0.0,10000000.0,pulp,wy_2009,NLC7,pulp-production-reference
228,printing-and-media-production-reference_BEC8,0.01,0.01,10000000.0,printing-and-media,wy_2009,BEC8,printing-and-media-production-reference
229,other-industrial-sectors_production-reference_NLC4,0.04,0.04,10000000.0,,wy_2009,NLC4,other-industrial-sectors_production-reference
230,pharmaceuticals-production-reference_NLC4,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC4,pharmaceuticals-production-reference
231,machinery-equipment-production-reference_BEC8,0.03,0.03,10000000.0,machinery-equipment,wy_2009,BEC8,machinery-equipment-production-reference
232,other-chemicals-production-reference_NLC7,0.05,0.05,10000000.0,,wy_2009,NLC7,other-chemicals-production-reference
233,wood-and-wood-products_production-reference_BEC6,0.04,0.04,10000000.0,wood,wy_2009,BEC6,wood-and-wood-products_production-reference
234,pharmaceuticals-production-reference_BEC3,0.02,0.02,10000000.0,pharmaceuticals,wy_2009,BEC3,pharmaceuticals-production-reference
235,paper-production-reference_BEC2,0.08,0.08,10000000.0,paper,wy_2009,BEC2,paper-production-reference
236,pharmaceuticals-production-reference_BEC2,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,BEC2,pharmaceuticals-production-reference
237,pharmaceuticals-production-reference_BEC5,0.01,0.01,10000000.0,pharmaceuticals,wy_2009,BEC5,pharmaceuticals-production-reference
238,ceramics-and-other-non-metalic-minerals-production-reference_NLC1,0.01,0.01,10000000.0,,wy_2009,NLC1,ceramics-and-other-non-metalic-minerals-production-reference
239,machinery-equipment-production-reference_BEC3,0.01,0.01,10000000.0,machinery-equipment,wy_2009,BEC3,machinery-equipment-production-reference
240,(NG)PEA_BEC2,0.0,0.0,0.0,chemicals,wy_2009,BEC2,(NG)PEA
241,pharmaceuticals-production-reference_NLC9,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC9,pharmaceuticals-production-reference
242,leather-and-textile-production-reference_BEC1,0.03,0.03,10000000.0,leather-and-textile,wy_2009,BEC1,leather-and-textile-production-reference
243,other-non-ferrous-metals-production-reference_BEC1,0.13,0.13,10000000.0,other-non-ferrous-metals,wy_2009,BEC1,other-non-ferrous-metals-production-reference
244,paper-production-reference_NLC5,0.02,0.02,10000000.0,paper,wy_2009,NLC5,paper-production-reference
245,leather-and-textile-production-reference_NLC9,0.01,0.01,10000000.0,leather-and-textile,wy_2009,NLC9,leather-and-textile-production-reference
246,other-industrial-sectors_production-reference_NLC6,0.12,0.12,10000000.0,,wy_2009,NLC6,other-industrial-sectors_production-reference
247,printing-and-media-production-reference_NLC4,0.0,0.0,10000000.0,printing-and-media,wy_2009,NLC4,printing-and-media-production-reference
248,printing-and-media-production-reference_BEC3,0.0,0.0,10000000.0,printing-and-media,wy_2009,BEC3,printing-and-media-production-reference
249,printing-and-media-production-reference_NLC6,0.01,0.01,10000000.0,printing-and-media,wy_2009,NLC6,printing-and-media-production-reference
250,leather-and-textile-production-reference_NLC3,0.01,0.01,10000000.0,leather-and-textile,wy_2009,NLC3,leather-and-textile-production-reference
251,(NG)PEA_NLC5,0.0,0.0,0.0,chemicals,wy_2009,NLC5,(NG)PEA
252,Diaphragm_NLC1,0.01,0.01,0.01,chemicals,wy_2009,NLC1,Diaphragm
253,transport-equipment-production-reference_NLC2,0.0,0.0,10000000.0,transport-equipment,wy_2009,NLC2,transport-equipment-production-reference
254,other-industrial-sectors_production-reference_BEC3,0.02,0.02,10000000.0,,wy_2009,BEC3,other-industrial-sectors_production-reference
255,paper-production-reference_BEC5,0.04,0.04,10000000.0,paper,wy_2009,BEC5,paper-production-reference
256,wood-and-wood-products_production-reference_BEC8,0.12,0.12,10000000.0,wood,wy_2009,BEC8,wood-and-wood-products_production-reference
257,leather-and-textile-production-reference_NLC7,0.0,0.0,10000000.0,leather-and-textile,wy_2009,NLC7,leather-and-textile-production-reference
258,other-chemicals-production-reference_NLC4,0.0,0.0,10000000.0,,wy_2009,NLC4,other-chemicals-production-reference
259,pharmaceuticals-production-reference_NLC8,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC8,pharmaceuticals-production-reference
260,(NG)_gfl_BEC3,0.09,0.09,0.09,glass,wy_2009,BEC3,(NG)_gfl
261,leather-and-textile-production-reference_BEC8,0.01,0.01,10000000.0,leather-and-textile,wy_2009,BEC8,leather-and-textile-production-reference
